"9147","001","1. Bach, Johann Sebastian","JS Bach","003---3323---2222---033---00---330",,,,"Leipzig-based from 1723","27","1685","1750","German","Late German Baroque [with eclectic German, French & Italian elements]","1600s","65","Johann Sebastian","Bach","1"
"9148","002","3. Beethoven, Ludwig van","Beethoven","332---3302---3333---310---22---320",,,,"Vienna-based from 1792","18","1770","1827","German","Late Viennese Classical","1700s","57","Ludwig van","Beethoven","3"
"9149","003","Alkan, Charles-Valentin","Alkan",,,,,"Paris-based","17","1813","1888","French","Middle French Romantic","1800s","75","Charles-Valentin","Alkan",
"9150","004","Bach, Carl Philipp Emanuel","CPE Bach","200---3222---1222---232---00---220",,,,"Berlin-based 1738-68, Hamburg-based thereafter","16","1714","1788","German","Pre-Classical","1700s","74","Carl Philipp Emanuel","Bach",
"9151","005","Bach, Johann Christian","JC Bach","222---2122---2221---220---02---220",,,,"London-based from 1762","14","1735","1782","German","Pre-Classical","1700s","47","Johann Christian","Bach",
"9152","006","Bach, Wilhelm Friedemann","WF Bach","none",,,,"Halle-based 1746-70","14","1710","1784","German","Pre-Classical","1700s","74","Wilhelm Friedemann","Bach",
"9153","007","25. Bartók, Béla","Bartok","023---3302---1322---302---22---020",,,,"New York-based from 1940","18","1881","1945","Hungarian","Hungarian Nationalist [Neoclassical]","1800s","64","Béla","Bartók","25 ó"
"9154","008","Berio, Luciano","Berio","012---1222---2211---212---12---22x",,,,,"16","1925","2003","Italian","European Avant-garde","1900s","78","Luciano","Berio",
"9155","009","Berkeley, Lennox","Berkeley","none",,,,,"14","1903","1989","British","French Neoclassical","1900s","86","Lennox","Berkeley",
"9156","010","Bloch, Ernest","Block","202---2222---2212---212---02---210",,,,"mainly U.S.-based from 1916","7","1880","1959","Swiss-American","Neoclassical [with Jewish Nationalist & Neoromantic elements]","1800s","79","Ernest","Bloch",
"9157","011","5. Brahms, Johannes","Brahms","303---3302---3333---320---00---330",,,,"Hamburg-based to 1862, Vienna-based thereafter","17","1833","1897","German","Middle German Romantic [Neoclassical]","1800s","64","Johannes","Brahms","5"
"9158","012","47. Bruckner, Anton","Bruckner","301---0000---2111---110---00---310",,,,"Vienna-based from 1868","10","1824","1896","Austrian","Middle German Romantic","1800s","72","Anton","Bruckner","47"
"9159","013","101. Busoni, Ferruccio","Busoni","022---2110---1212---210---02---120",,,,,"12","1866","1924","Italian-German","Late Romantic with German Neoclassical elements","1800s","58","Ferruccio","Busoni","101"
"9160","014","10. Chopin, Fryderyk","Chopin","000---3000---0012---300---00---020",,,,"mainly Paris-based from 1831","9","1810","1849","Polish-French","Early French Romantic [Paris virtuoso school] with Polish Nationalist elements","1800s","39","Fryderyk","Chopin","10"
"9161","015","Clementi, Muzio","Clementi","201---1000---0012---330---00---010",,,,"mainly London-based from c1766","23","1752","1832","Italian-British","Post-Classical [London piano school]","1700s","80","Muzio","Clementi",
"9162","016","Creston, Paul","Creston","none",,,,,"13","1906","1985","American","Neoromantic","1900s","79","Paul","Creston",
"9163","017","Crumb, George","Crumb","002---0000---1222---212---00---12x",,,,"Philadelphia-based 1965-97","19","1929",,"American","Mystical","1900s","-1","George","Crumb",
"9164","018","Czerny, C[K]arl","Czerny","none",,,,"Vienna-based","8","1791","1857","Austrian","Post-Classical [Viennese Classical]","1700s","66","C[K]arl","Czerny",
"9165","019","Davies, Peter Maxwell","Davies","222---0222---2112---222---12---22x",,,,"Orkney-based from 1970","19","1934","2016","British","Serial & highly varied, with Expressionist & Neomedieval elements to c1975 but an increasingly Neoro","1900s","82","Peter Maxwell","Davies",
"9166","020","14. Debussy, Claude","Debussy","023---2120---0323---302---23---030",,,,"Paris-based","12","1862","1918","French","Impressionist","1800s","56","Claude","Debussy","14"
"9167","021","Duruflé, Maurice","Durufle","001---0000---0011---120---00---300",,,,"Paris-based from 1919","19","1902","1986","French","Neoromantic [French organ school]","1900s","84","Maurice","Duruflé","é"
"9168","022","Dupré, Marcel","Dupre","201---2000---1112---131---00---210",,,,"mainly Paris-based from c1898","9","1886","1971","French","Neoromantic [French organ school]","1800s","85","Marcel","Dupré","é"
"9169","023","Enescu, George [Enesco, Georges]","Enescu","202---1200---2212---201---02---020",,,,"Romania- & Paris-based","19","1881","1955","Romanian-French","Late [post-Brahmsian] Romantic to c1914, Impressionist thereafter","1800s","74","George [Enesco","Enescu",
"9170","024","32. Fauré, Gabriel","Faure","022---2200---2223---202---02---330",,,,"mainly Paris-based from 1854","15","1845","1924","French","Late French Romantic [Neoclassical]","1800s","79","Gabriel","Fauré","32 é"
"9171","025","Finzi, Gerald","Finzi","022---2220---1012---000---00---220",,,,,"8","1901","1956","British","English Nationalist [Neoromantic]","1900s","55","Gerald","Finzi",
"9172","026","Foss, Lukas","Foss","none",,,,"U.S.-based from 1937","26","1922","2009","German-American","Neoclassical to c1960, highly varied thereafter with Avant-garde, Experimentalist, Neoclassical & Mi","1900s","87","Lukas","Foss",
"9173","027","Kuhlau, Friedrich [Daniel Rudolph]","Kuhlau","[not used]",,,,"Copenhagen-based from 1810","17","1786","1832","German-Danish","Late Viennese Classical","1700s","46","Friedrich [Daniel Rudolph]","Kuhlau",
"9174","028","Franz, Robert","Franz","none",,,,"Halle-based","10","1815","1892","German","Middle German Romantic [Biedermeier]","1800s","77","Robert","Franz",
"9175","029","Goldmark, C[K]arl [Károly]","Goldmark","none",,,,"mainly Vienna-based from 1844","27","1830","1915","Hungarian-Austrian","Middle German Romantic","1800s","85","C[K]arl [Károly]","Goldmark",
"9176","030","56. Gounod, Charles","Gounoud","212---1000---0112---120---23---320",,,,"mainly Paris-based","22","1818","1893","French","Middle French Romantic","1800s","75","Charles","Gounod","56"
"9177","031","92. Grainger, Percy","Grainger","002---2202---2122---211---00---020",,,,"U.S.-based from 1914","9","1882","1961","Australian-American","English Nationalist with Experimentalist elements","1800s","79","Percy","Grainger","92"
"9178","032","Gubaidulina [Gubaydulina], Sofia","Gubaidulina","none",,,"Exoticist [Mystical]","Hamburg-based since 1992","3","1931",,"Russian","Experimentalist","1900s","-1","Sofia","Gubaidulina [Gubaydulina]",
"9179","033","Guilmant, [Félix-] Alexandre","Guilmant","none",,,,"mainly Paris-based from 1862","28","1837","1911","French","Late French Romantic [French organ school]","1800s","74","[Félix-] Alexandre","Guilmant",
"9180","034","Albinoni, Tomaso","Albinoni","011---0232---2222---001---02---120",,,,"Venice-based","18","1671","1751","Italian","Late Italian Baroque","1600s","80","Tomaso","Albinoni",
"9181","035","Böhm, Georg","Böhm","none",,,,"mainly Lüneberg-based after 1697","13","1661","1733","German","Middle German Baroque","1600s","72","Georg","Böhm","ö"
"9182","036","Bruhns, Nicolaus","Bruhns","none",,,,"North Germany-based","9","1665","1697","German","Middle German Baroque","1600s","32","Nicolaus","Bruhns",
"9183","037","100. Buxtehude, Dieterich","Buxtehude","none",,,,"Lubeck-based from 1668","17","c1637","1707","Danish-German","Middle German Baroque","1600s","70","Dieterich","Buxtehude","100"
"9184","038","94. Corelli, Arcangelo","Corelli","none",,,,"Rome-based from c1675","10","1653","1713","Italian","Late Italian Baroque","1600s","60","Arcangelo","Corelli","94"
"9185","039","08. Couperin, François","F Couperin","000---0000---2221---030---00---210",,,,"Paris-based","16","1668","1733","French","Late French Baroque [with eclectic French & Italian elements]","1600s","65","François","Couperin","08"
"9186","040","Frescobaldi, Girolamo","Frescobaldi","none",,,,"Ferrara-based to c1600---Rome-based thereafter","11","1583","1643","Italian","Early Italian Baroque","1500s","60","Girolamo","Frescobaldi",
"9187","041","Froberger, Johann Jakob","Froberger","none",,,,"travelled widely in Europe","8","1616","1667","German","Early German Baroque","1600s","51","Johann Jakob","Froberger",
"9188","042","8. Handel, George Frideric","Handel","023---3223---2331---031---03---330",,,,"London-based from 1710","27","1685","1759","German-British","Late English Baroque [with eclectic English, German & Italian elements]","1600s","74","George Frideric","Handel","8"
